id,university_short_name,major_code,program_source_code,program_name,quota,source,source_school_id,is_active
04e4b64e-a15c-5af1-b834-48fc565922b6,DCN,7510203,7510203,Công nghệ kỹ thuật cơ điện tử,280,tuyensinh247,308,true
206ffcd0-4046-5956-b094-a2dc165c493b,DCN,75102032,75102032,Robot và trí tuệ nhân tạo,60,tuyensinh247,308,true
8592a6b0-b12b-5116-884e-06c5ba5bd725,DCN,75102033,75102033,Công nghệ kỹ thuật cơ điện tử ô tô,60,tuyensinh247,308,true
c448a966-7319-55f7-86c7-cee156dd6158,DCN,7510203TA,7510203TA,Công nghệ kỹ thuật cơ điện tử (CTĐT bằng tiếng Anh),40,tuyensinh247,,true
1bcf1f02-b792-58ec-8377-49972140f974,DCN,7510205,7510205,Công nghệ kỹ thuật ô tô,360,tuyensinh247,308,true
c9cfa4e7-1dae-58eb-b335-f69872f5f4a7,DCN,7510205TA,7510205TA,Công nghệ kỹ thuật ô tô (CTĐT bằng tiếng Anh),40,tuyensinh247,308,true
ff4a5b68-fb67-569a-9567-96af09c3d7bc,DCN,7510206,7510206,Công nghệ kỹ thuật nhiệt,120,tuyensinh247,308,true
deb07089-d4a2-518b-8ed7-f489fac4e2f5,DCN,7510251,7510251,Kỹ thuật ô tô và năng lượng mới,40,tuyensinh247,,true
d2a4f673-9a3f-50f0-8a4a-c8db8693039b,DCN,7510301,7510301,Công nghệ kỹ thuật điện; điện tử,420,tuyensinh247,308,true
17a11f0a-c023-5857-9539-ffa0c8cee471,DCN,7510301TA,7510301TA,Công nghệ kỹ thuật điện; điện tử (CTĐT bằng tiếng Anh),40,tuyensinh247,308,true
