id,university_short_name,major_code,program_source_code,program_name,source,source_school_id,is_active
3ee7e108-0f12-5526-aa0c-9d98e853443f,BKA,EV1,EV1,Kỹ thuật Môi trường,tuyensinh247,302,true
0d1c4f4f-9498-5847-a598-394b5f63684e,BKA,EV1x,EV1x,Kỹ thuật Môi trường,tuyensinh247,302,true
b92a6c80-2f19-5749-920a-9529863898c2,BKA,EV1y,EV1y,Kỹ thuật Môi trường,tuyensinh247,302,true
27f6d74e-bd56-5416-8621-33f18177ccf8,BKA,EV2,EV2,Quản lý Tài nguyên và Môi trường,tuyensinh247,302,true
6bd25b59-f349-5cc7-ae73-7d9550c9c2b8,BKA,EV2x,EV2x,Quản lý tài nguyên và môi trường,tuyensinh247,302,true
e88e1791-d920-5a89-ad66-07bf5312bb8e,BKA,EV2y,EV2y,Quản lý tài nguyên và môi trường,tuyensinh247,302,true
d55efb80-dbf7-503d-bcd5-b56a90376f72,BKA,FL1,FL1,Tiếng Anh KHKT và Công nghệ,tuyensinh247,302,true
f89aecab-9302-509d-9395-c86c01600716,BKA,FL1x,FL1x,Tiếng Anh KHKT và Công nghệ,tuyensinh247,302,true
1bef31db-341a-563a-adb9-52f26d466c30,BKA,FL1y,FL1y,Tiếng Anh KHKT và Công nghệ,tuyensinh247,302,true
18d42dcb-4ab0-5152-8df2-50681fe75c6c,BKA,FL2,FL2,Tiếng Anh chuyên nghiệp quốc tế,tuyensinh247,302,true
e0c415dd-7d08-5250-9f27-84ffe238507d,BKA,FL2x,FL2x,Tiếng Anh chuyên nghiệp quốc tế,tuyensinh247,302,true
ad961b00-a876-595c-b743-76c82238bcb8,BKA,FL2y,FL2y,Tiếng Anh chuyên nghiệp quốc tế,tuyensinh247,302,true
b35ee16e-656e-5115-b39d-d43e8380a546,BKA,FL3,FL3,Tiếng Trung KHKT và Công nghệ,tuyensinh247,302,true
79baf835-2e47-5f05-b0f2-e8513962171d,BKA,HE1,HE1,Kỹ thuật Nhiệt,tuyensinh247,302,true
13c4e368-019b-5132-93a1-097f28f3cb77,BKA,HE1x,HE1x,Kỹ thuật Nhiệt,tuyensinh247,302,true
7318a13a-fc7c-5fa7-a273-2e23dec35448,BKA,HE1y,HE1y,Kỹ thuật Nhiệt,tuyensinh247,302,true
873473f9-de51-5357-9b31-6209df1671ff,BKA,IT-E10,IT-E10,Khoa học dữ liệu và Trí tuệ nhân tạo (CT tiên tiến),tuyensinh247,302,true
36a3ef45-df2c-509d-a897-1edbf599a754,BKA,IT-E10x,IT-E10x,Khoa học dữ liệu và Trí tuệ nhân tạo (CT tiên tiến),tuyensinh247,302,true
39be5a18-2e0e-58c8-9c62-214c9af71462,BKA,IT-E15,IT-E15,An toàn không gian số - Cyber security (CT tiên tiến),tuyensinh247,302,true
271ce317-4278-540f-bf55-0fbb2a3a2cdf,BKA,IT-E15x,IT-E15x,An toàn không gian số - Cyber security (CT tiên tiến),tuyensinh247,302,true
e2f39d4f-face-50d6-8da8-65a078f357b2,BKA,IT-E6,IT-E6,Công nghệ thông tin (Việt - Nhật),tuyensinh247,302,true
f54a4f0a-358c-554c-b3f6-0ed01df85e5b,BKA,IT-E6x,IT-E6x,Công nghệ thông tin (Việt - Nhật),tuyensinh247,302,true
43c61649-a53f-5669-9e09-2542e19ea671,BKA,IT-E6y,IT-E6y,Công nghệ thông tin (Việt - Nhật),tuyensinh247,302,true
69688848-6850-591d-88cd-9d8fd09de60c,BKA,IT-E7,IT-E7,Công nghệ thông tin (Global ICT),tuyensinh247,302,true
fad76f6a-431b-57b8-bd32-0aa0a2114ba4,BKA,IT-E7x,IT-E7x,Công nghệ thông tin (Global ICT),tuyensinh247,302,true
202dfc34-5a2c-5b5c-8181-3744b943641d,BKA,IT-EP,IT-EP,Công nghệ thông tin (Việt - Pháp),tuyensinh247,302,true
10fbcc24-d075-5363-8b45-c84aabf7569e,BKA,IT-Epx,IT-Epx,Công nghệ thông tin (Việt - Pháp),tuyensinh247,302,true
951ec60c-e9de-5777-a102-db51088af9a6,BKA,IT1,IT1,CNTT: Khoa học Máy tính,tuyensinh247,302,true
b60b6925-1915-5b2b-b6ff-827efe1ecb9d,BKA,IT1x,IT1x,CNTT: Khoa học Máy tính,tuyensinh247,302,true
08dd2f4c-e1c5-5bf8-b81d-c0b770a60a83,BKA,IT2,IT2,CNTT: Kỹ thuật Máy tính,tuyensinh247,302,true
4fc1e9f0-db1b-5b70-a037-b5c173164420,BKA,IT2x,IT2x,CNTT: Kỹ thuật Máy tính,tuyensinh247,302,true
f299e13b-c94c-510d-8ba4-546dbd4d2457,BKA,IT2y,IT2y,CNTT: Kỹ thuật Máy tính,tuyensinh247,302,true
