admission_option_id,subject_group_code
d119669c-1811-5fda-aced-8a90f5a9440d,K00
d119669c-1811-5fda-aced-8a90f5a9440d,Q00
078ccc09-6489-5215-8caf-bc182bf71669,A00
078ccc09-6489-5215-8caf-bc182bf71669,A01
078ccc09-6489-5215-8caf-bc182bf71669,D01
078ccc09-6489-5215-8caf-bc182bf71669,D07
0a2af9e6-f216-509d-8ecd-22a73bf1be9f,A00
0a2af9e6-f216-509d-8ecd-22a73bf1be9f,A01
0a2af9e6-f216-509d-8ecd-22a73bf1be9f,B00
0a2af9e6-f216-509d-8ecd-22a73bf1be9f,D07
ba533422-0e23-53c4-95e3-502d8a3868db,A00
ba533422-0e23-53c4-95e3-502d8a3868db,A01
ba533422-0e23-53c4-95e3-502d8a3868db,B00
ba533422-0e23-53c4-95e3-502d8a3868db,D07
d2bc98df-b5ed-57d9-a300-7f47ab96d84d,K00
d2bc98df-b5ed-57d9-a300-7f47ab96d84d,Q00
bbf7d6eb-0ebb-5706-9e3d-c76eeda57386,A00
bbf7d6eb-0ebb-5706-9e3d-c76eeda57386,A01
bbf7d6eb-0ebb-5706-9e3d-c76eeda57386,B00
bbf7d6eb-0ebb-5706-9e3d-c76eeda57386,D07
6ba8e9e1-3ca6-5d38-8003-5a78b27af068,A00
6ba8e9e1-3ca6-5d38-8003-5a78b27af068,A01
6ba8e9e1-3ca6-5d38-8003-5a78b27af068,D01
6ba8e9e1-3ca6-5d38-8003-5a78b27af068,D07
085c6618-bde0-5c11-9811-264115c4ced0,A00
085c6618-bde0-5c11-9811-264115c4ced0,A01
085c6618-bde0-5c11-9811-264115c4ced0,D01
085c6618-bde0-5c11-9811-264115c4ced0,D07
